@relation 'ctc'
@attribute TP_FP real
@attribute FEATURE_1 real
@attribute FEATURE_2 real
@attribute FEATURE_3 real
@data
1,-49.332,38.0262,-17.6678
1,-59.8929,-29.8824,-8.94522
1,38.0183,11.1032,2.58062
1,53.8422,-28.2541,14.6266
1,-57.8259,28.4502,-14.0343
1,-64.2087,-24.1635,-3.64351
1,39.1131,12.6731,-0.740289
1,51.1558,18.935,-7.70575
1,49.7583,23.7056,-22.9173
1,-63.9137,-16.1156,8.36576
1,41.835,14.2375,-3.0085
1,47.5828,10.7665,-2.54795
1,49.1464,10.6704,-1.29386
1,43.0663,27.8229,-5.89992
1,45.3091,30.7989,-8.65117
1,54.9168,15.1536,-7.28581
1,-60.1674,15.8725,-11.2562
1,45.205,17.1505,0.61621
1,49.1703,12.3551,2.15231
1,46.4319,9.46079,0.883694
1,37.9498,17.3707,-2.06622
1,-52.8217,16.8002,-11.6141
1,42.9372,21.392,-2.12412
1,44.8506,15.7444,-5.41804
1,39.0424,-11.5456,8.2072
1,-41.4598,-13.831,12.6428
1,39.3354,22.8282,-13.4332
1,41.0712,-17.4133,14.6787
1,35.3248,-22.8092,6.07187
1,-30.048,22.9383,1.04367
1,-37.9212,4.53996,-3.60198
1,-41.3697,-20.8001,-6.30382
1,-49.5634,-31.6533,-7.56866
1,-65.1956,-22.5893,-3.78038
1,-65.8884,-11.2924,9.18641
1,-53.9553,19.8688,-3.49412
1,-25.0732,-10.5054,10.0398
1,22.0505,10.9268,1.6713
1,21.1938,7.33001,-1.17367
1,20.5785,1.85477,0.075973
1,21.3865,2.71655,-0.496562
1,25.6836,1.3741,-0.591674
1,33.8212,2.62266,-0.576425
1,42.1218,5.99967,0.79352
1,43.8019,7.68818,-0.765326
1,43.2349,10.0253,-3.92873
1,43.5571,13.4418,-2.62778
1,37.2334,17.0874,-12.2549
1,-30.7534,30.164,16.7272
1,19.3264,10.5251,-0.891288
1,45.0165,7.69785,0.0207362
1,43.1063,3.74251,-2.70297
1,41.7899,-6.97411,3.7502
1,34.4514,-17.9372,7.6921
1,-32.2332,27.4519,10.7888
1,15.5054,-11.1004,-0.917618
1,42.1391,20.0536,-3.55392
1,41.9268,8.35253,-0.613226
1,40.311,-7.21162,-0.184995
1,-36.8178,18.4714,3.41269
1,15.117,-13.1656,-0.756843
1,55.7524,14.2664,-13.0073
1,49.293,22.0623,-16.2819
1,40.7369,33.9777,-12.5287
1,42.888,28.0341,-3.79872
1,40.0831,4.83649,-0.753034
1,-43.1694,6.08182,1.0249
1,17.8767,8.02632,0.511227
1,55.4365,-23.9417,-8.56784
1,44.1739,-29.9703,-20.4781
1,-37.6419,35.397,-8.99259
1,32.4755,-30.2843,20.4052
1,49.1723,29.9986,-12.632
1,42.6712,17.109,-2.69555
1,-47.6274,-6.89991,-0.584299
1,21.9195,8.11148,4.51029
1,57.3643,-24.5757,0.51393
1,-47.7094,45.3262,-23.8465
1,51.1248,21.9603,-20.6031
1,-49.4178,-17.0565,-6.75712
1,24.6054,5.89799,0.377643
1,54.9598,-24.9871,7.3815
1,-47.6948,40.9312,-14.9817
1,-53.2685,-15.0111,5.15602
1,26.665,6.72556,-2.35546
1,52.7474,-18.3682,18.3064
1,46.2062,-25.0289,14.2683
1,33.6256,-23.7249,11.6749
1,34.0614,-26.2809,22.6247
1,54.8605,-17.5658,16.002
1,-57.6277,23.1977,-13.8829
1,29.6566,7.3725,-3.59066
1,48.7845,25.4405,-2.86036
1,46.3875,44.4192,-4.08
1,56.47,37.7279,-4.29924
1,60.2212,25.5865,-8.16438
1,-61.6827,27.271,-16.624
1,35.7753,9.47087,2.2076
1,50.64,14.7865,-2.48756
1,49.1855,23.5373,-1.2526
1,47.5178,26.8108,1.38899
1,38.8809,18.9427,0.825142
1,-62.8646,22.5813,-19.5807
1,38.2538,13.0586,1.10531
1,46.9837,-10.0523,2.30935
1,43.1757,-18.592,-0.164214
1,-58.3584,-21.9692,14.4879
1,35.4143,13.8548,-10.0602
1,41.7034,-14.4496,6.10655
1,43.7179,-20.1914,0.932289
1,39.4899,-27.2989,-1.20094
1,-36.3026,28.1867,-2.83988
1,-42.5195,9.40696,-4.14219
1,-42.5481,-14.3392,-1.27017
1,-49.0543,-24.5529,6.42715
1,-61.2469,21.0429,-18.2046
1,-63.2076,28.318,-13.2101
1,-56.228,18.8774,-14.8979
1,-42.6615,-19.71,7.84393
1,11.2715,8.21467,0.513837
1,9.51405,-1.33385,0.541136
1,9.36272,-2.1343,0.422936
1,11.1935,-3.23777,-0.96166
1,17.6577,-3.44041,0.0272401
1,28.8112,3.16699,-0.931538
1,35.9505,4.65394,-1.6054
1,39.4776,6.34312,-3.94073
1,43.8686,8.68104,-1.19187
1,44.6428,12.5028,-8.74591
1,41.9742,-22.9913,12.5826
1,13.8387,5.42567,-1.62311
1,46.1865,-6.50647,0.521736
1,45.9355,-13.4421,5.37156
1,43.5961,-23.4824,10.465
1,-8.05952,7.36658,-1.45899
1,47.3933,-7.47248,-0.574837
1,44.7362,-20.0026,1.45817
1,39.7292,-27.8065,6.07829
1,-11.8907,4.8506,-1.37991
1,44.0632,24.1584,-2.67289
1,48.8882,2.56526,1.14644
1,41.9454,-24.1461,2.7829
1,-36.1032,32.6637,4.92367
1,5.89965,3.30928,0.368877
1,42.139,-25.4397,-21.0859
1,37.8501,-30.3237,-11.691
1,36.808,-24.0673,12.978
1,44.6344,31.8118,-10.4259
1,53.0742,15.2435,-1.45959
1,39.0308,-21.0479,2.01793
1,-44.2528,24.2653,1.53223
1,8.67041,4.55979,2.03958
1,43.3439,-36.9866,-21.3358
1,-49.7967,34.856,-32.1525
1,-50.5736,30.829,-28.5963
1,-36.7011,33.4106,1.72612
1,48.442,31.4831,-16.635
1,57.4268,24.4367,-3.41522
1,-47.4348,17.5676,-5.45829
1,12.3077,2.27431,-2.05242
1,43.998,-30.8397,-12.5892
1,36.432,-34.086,-28.7706
1,-35.2093,33.0909,-17.7003
1,36.6412,-24.4986,14.8138
1,57.9305,28.3758,-5.42039
1,54.5685,26.5054,8.31951
1,-48.2273,21.0493,2.43205
1,15.247,2.99659,-2.50682
1,48.5307,-13.8078,10.1978
1,43.9673,-16.077,13.8088
1,39.8189,30.4659,-20.992
1,55.3011,31.1259,-13.0369
1,62.5698,27.6362,3.42797
1,41.2621,27.7936,13.2928
1,-51.5565,33.9223,-0.872012
1,17.2674,3.17665,-2.00529
1,58.4992,35.7042,-7.56632
1,59.1402,27.5996,-6.50945
1,46.1046,24.81,3.31271
1,-56.7477,32.3295,-13.9221
1,22.5729,4.0512,1.58755
1,55.3783,14.4464,-0.0939191
1,57.7832,21.0003,1.6168
1,54.3294,22.2586,1.21514
1,40.3335,20.0944,1.20307
1,-63.4296,-24.648,24.4664
1,28.1616,5.43705,0.257455
1,48.7526,-15.903,-0.123422
1,48.8478,-21.8017,0.70214
1,45.3293,-21.0014,2.42336
1,34.186,-15.438,5.26596
1,-67.9236,-30.5196,12.9772
1,27.6507,-7.45782,6.52675
1,44.16,-15.6307,0.89881
1,47.3449,-21.1149,1.49877
1,44.2428,-29.5971,1.90353
1,-37.9392,34.8388,2.29293
1,-41.4662,20.5153,3.94208
1,-42.8217,19.7136,-5.94959
1,-50.1624,31.2858,-18.4711
1,-61.8306,31.2235,-22.082
1,-66.6574,-25.8873,15.143
1,-57.9045,-30.3881,2.29702
1,6.81947,1.65435,-1.65006
1,3.85072,-3.67995,-2.44357
1,6.6897,-4.55708,-1.74602
1,15.0568,-2.51439,1.72354
1,23.798,2.62677,-1.81278
1,29.6437,3.15318,-1.69802
